Order Date,Date,Quarter,Row ID,Order ID,Ship Mode,Customer ID,Segment,City,State,Region,Category,Sub-Category,Price,Quantity,Discount,Total sales,Profit
7/1/2020,1/2022,Q1,978,CA-2017-159366,First Class,BW-11110,Corporate,Detroit,Michigan,Central,Technology,Machines,3059.98,2,0.1,5507.97,680
7/1/2020,1/2022,Q1,2121,US-2017-168690,Standard Class,TS-21085,Consumer,Ormond Beach,Florida,South,Office Supplies,Binders,2.81,3,0.7,2.53,-1.97
7/1/2020,1/2022,Q1,7372,US-2017-123862,Second Class,JF-15190,Consumer,Long Beach,California,West,Office Supplies,Storage,153.78,11,0,1691.58,44.6
7/1/2020,1/2022,Q1,7373,US-2017-123862,Second Class,JF-15190,Consumer,Long Beach,California,West,Office Supplies,Storage,61.02,3,0,183.06,0.61
7/1/2020,1/2022,Q1,7374,US-2017-123862,Second Class,JF-15190,Consumer,Long Beach,California,West,Office Supplies,Supplies,110.11,7,0,770.77,31.93
7/1/2020,1/2022,Q1,7375,US-2017-123862,Second Class,JF-15190,Consumer,Long Beach,California,West,Office Supplies,Fasteners,7.89,1,0,7.89,3.55
8/1/2020,1/2022,Q1,2290,CA-2017-115154,First Class,RS-19420,Corporate,Seattle,Washington,West,Furniture,Tables,892.98,2,0,1785.96,80.37
9/1/2020,1/2022,Q1,7221,CA-2017-154760,Standard Class,BP-11290,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,274.49,3,0.7,247.04,-228.74
12/1/2020,1/2022,Q1,5900,CA-2017-108000,Standard Class,LS-16945,Corporate,San Francisco,California,West,Office Supplies,Envelopes,9.78,1,0,9.78,4.89
12/1/2020,1/2022,Q1,8641,US-2017-148551,Standard Class,DB-13120,Corporate,Dallas,Texas,Central,Office Supplies,Binders,760.98,5,0.8,760.98,-1141.47
13/1/2020,1/2022,Q1,6619,US-2017-167402,Second Class,CP-12085,Corporate,Springfield,Missouri,Central,Office Supplies,Paper,32.4,5,0,162,15.55
13/1/2020,1/2022,Q1,6620,US-2017-167402,Second Class,CP-12085,Corporate,Springfield,Missouri,Central,Office Supplies,Art,209.94,6,0,1259.64,54.58
13/1/2020,1/2022,Q1,6621,US-2017-167402,Second Class,CP-12085,Corporate,Springfield,Missouri,Central,Office Supplies,Supplies,4164.05,5,0,20820.25,83.28
13/1/2020,1/2022,Q1,6622,US-2017-167402,Second Class,CP-12085,Corporate,Springfield,Missouri,Central,Furniture,Bookcases,212.94,3,0,638.82,53.24
14/1/2020,1/2022,Q1,1183,CA-2017-138779,First Class,RB-19570,Consumer,Jacksonville,North Carolina,South,Office Supplies,Envelopes,21.74,1,0.2,17.4,7.34
14/1/2020,1/2022,Q1,1184,CA-2017-138779,First Class,RB-19570,Consumer,Jacksonville,North Carolina,South,Technology,Phones,7.92,5,0.2,31.68,0.69
14/1/2020,1/2022,Q1,4165,US-2017-106131,First Class,TP-21565,Corporate,Aurora,Colorado,West,Technology,Accessories,169.06,7,0.2,946.76,-14.79
14/1/2020,1/2022,Q1,4166,US-2017-106131,First Class,TP-21565,Corporate,Aurora,Colorado,West,Office Supplies,Storage,168.62,9,0.2,1214.09,14.75
14/1/2020,1/2022,Q1,4910,CA-2017-127306,Standard Class,BH-11710,Consumer,Johnson City,Tennessee,South,Office Supplies,Envelopes,18.34,3,0.2,44.01,6.65
14/1/2020,1/2022,Q1,4911,CA-2017-127306,Standard Class,BH-11710,Consumer,Johnson City,Tennessee,South,Office Supplies,Paper,36.29,7,0.2,203.21,12.7
14/1/2020,1/2022,Q1,4912,CA-2017-127306,Standard Class,BH-11710,Consumer,Johnson City,Tennessee,South,Technology,Phones,111.98,2,0.2,179.17,7
14/1/2020,1/2022,Q1,4913,CA-2017-127306,Standard Class,BH-11710,Consumer,Johnson City,Tennessee,South,Office Supplies,Binders,5.97,5,0.7,8.96,-4.58
14/1/2020,1/2022,Q1,4914,CA-2017-127306,Standard Class,BH-11710,Consumer,Johnson City,Tennessee,South,Office Supplies,Binders,2.51,2,0.7,1.5,-1.84
14/1/2020,1/2022,Q1,6980,CA-2017-149076,Standard Class,SO-20335,Consumer,Los Angeles,California,West,Office Supplies,Paper,154.9,5,0,774.5,69.71
14/1/2020,1/2022,Q1,9859,CA-2017-113278,Standard Class,HR-14770,Home Office,Richmond,Indiana,Central,Office Supplies,Storage,67.4,5,0,337,17.52
14/1/2020,1/2022,Q1,9860,CA-2017-113278,Standard Class,HR-14770,Home Office,Richmond,Indiana,Central,Office Supplies,Fasteners,2.52,2,0,5.04,0.1
14/1/2020,1/2022,Q1,9861,CA-2017-113278,Standard Class,HR-14770,Home Office,Richmond,Indiana,Central,Technology,Phones,67.8,4,0,271.2,1.36
14/1/2020,1/2022,Q1,9862,CA-2017-113278,Standard Class,HR-14770,Home Office,Richmond,Indiana,Central,Office Supplies,Storage,18.76,2,0,37.52,5.25
14/1/2020,1/2022,Q1,9863,CA-2017-113278,Standard Class,HR-14770,Home Office,Richmond,Indiana,Central,Technology,Accessories,12.12,4,0,48.48,2.55
14/1/2020,1/2022,Q1,9864,CA-2017-113278,Standard Class,HR-14770,Home Office,Richmond,Indiana,Central,Office Supplies,Paper,11.34,1,0,11.34,5.56
14/1/2020,1/2022,Q1,9865,CA-2017-113278,Standard Class,HR-14770,Home Office,Richmond,Indiana,Central,Technology,Accessories,159.8,4,0,639.2,70.31
14/1/2020,1/2022,Q1,9866,CA-2017-113278,Standard Class,HR-14770,Home Office,Richmond,Indiana,Central,Furniture,Furnishings,18.96,2,0,37.92,8.53
15/1/2020,1/2022,Q1,2767,CA-2017-167752,First Class,RW-19690,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Appliances,34.38,1,0.2,27.51,3.87
15/1/2020,1/2022,Q1,2768,CA-2017-167752,First Class,RW-19690,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Appliances,1924.16,8,0.2,12314.62,312.68
15/1/2020,1/2022,Q1,3954,CA-2017-152961,Standard Class,SC-20095,Consumer,Quincy,Massachusetts,East,Office Supplies,Paper,12.7,2,0,25.4,5.84
15/1/2020,1/2022,Q1,5068,CA-2017-160934,Standard Class,TT-21460,Home Office,Los Angeles,California,West,Office Supplies,Art,21.4,5,0,107,6.21
15/1/2020,1/2022,Q1,6384,US-2017-104661,First Class,TB-21250,Consumer,Austin,Texas,Central,Office Supplies,Binders,32.78,4,0.8,26.23,-52.45
15/1/2020,1/2022,Q1,6385,US-2017-104661,First Class,TB-21250,Consumer,Austin,Texas,Central,Technology,Accessories,47.98,2,0.2,76.77,14.4
15/1/2020,1/2022,Q1,6386,US-2017-104661,First Class,TB-21250,Consumer,Austin,Texas,Central,Technology,Accessories,62.59,8,0.2,400.59,13.3
15/1/2020,1/2022,Q1,6387,US-2017-104661,First Class,TB-21250,Consumer,Austin,Texas,Central,Office Supplies,Binders,4.28,1,0.8,0.86,-6.63
16/1/2020,1/2022,Q1,5272,CA-2017-125913,Same Day,JO-15145,Corporate,Los Angeles,California,West,Furniture,Furnishings,27.92,4,0,111.68,8.1
16/1/2020,1/2022,Q1,5273,CA-2017-125913,Same Day,JO-15145,Corporate,Los Angeles,California,West,Furniture,Tables,399.67,7,0.2,2238.16,-14.99
16/1/2020,1/2022,Q1,6521,CA-2017-138289,Second Class,AR-10540,Consumer,Jackson,Michigan,Central,Office Supplies,Binders,5443.96,4,0,21775.84,2504.22
16/1/2020,1/2022,Q1,6522,CA-2017-138289,Second Class,AR-10540,Consumer,Jackson,Michigan,Central,Furniture,Chairs,302.67,3,0,908.01,72.64
16/1/2020,1/2022,Q1,6523,CA-2017-138289,Second Class,AR-10540,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,56.07,7,0,392.49,25.23
19/1/2020,1/2022,Q1,1885,CA-2017-154718,Second Class,DL-12865,Consumer,Keller,Texas,Central,Office Supplies,Labels,6,2,0.2,9.6,2.1
19/1/2020,1/2022,Q1,9116,CA-2017-153045,Second Class,NS-18505,Consumer,Philadelphia,Pennsylvania,East,Technology,Phones,429.6,2,0.4,515.52,-93.08
19/1/2020,1/2022,Q1,9117,CA-2017-153045,Second Class,NS-18505,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,31.97,2,0.2,51.15,6.39
19/1/2020,1/2022,Q1,9118,CA-2017-153045,Second Class,NS-18505,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,887.27,3,0.3,1863.27,-63.38
19/1/2020,1/2022,Q1,9119,CA-2017-153045,Second Class,NS-18505,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Paper,21.7,4,0.2,69.43,7.05
19/1/2020,1/2022,Q1,9387,US-2017-127292,Standard Class,RM-19375,Consumer,Burlington,Vermont,East,Office Supplies,Paper,79.92,4,0,319.68,37.56
19/1/2020,1/2022,Q1,9388,US-2017-127292,Standard Class,RM-19375,Consumer,Burlington,Vermont,East,Office Supplies,Paper,12.28,1,0,12.28,5.77
19/1/2020,1/2022,Q1,9389,US-2017-127292,Standard Class,RM-19375,Consumer,Burlington,Vermont,East,Office Supplies,Appliances,542.94,3,0,1628.82,152.02
19/1/2020,1/2022,Q1,9390,US-2017-127292,Standard Class,RM-19375,Consumer,Burlington,Vermont,East,Office Supplies,Envelopes,2.04,1,0,2.04,0.96
20/1/2020,1/2022,Q1,440,CA-2017-157252,Second Class,CV-12805,Corporate,New York City,New York,East,Furniture,Chairs,207.85,3,0.1,561.18,2.31
20/1/2020,1/2022,Q1,1659,CA-2017-161809,Standard Class,TH-21100,Consumer,Los Angeles,California,West,Technology,Phones,160.78,3,0.2,385.86,10.05
20/1/2020,1/2022,Q1,2408,CA-2017-144589,Standard Class,TM-21010,Consumer,San Francisco,California,West,Office Supplies,Art,24.2,5,0,121,7.99
20/1/2020,1/2022,Q1,2409,CA-2017-144589,Standard Class,TM-21010,Consumer,San Francisco,California,West,Technology,Phones,359.98,3,0.2,863.94,130.49
20/1/2020,1/2022,Q1,5425,US-2017-120649,Standard Class,JF-15490,Consumer,Waterbury,Connecticut,East,Office Supplies,Art,3.52,2,0,7.04,1.02
20/1/2020,1/2022,Q1,7408,CA-2017-152079,First Class,ML-17410,Consumer,Chicago,Illinois,Central,Office Supplies,Labels,11.52,5,0.2,46.08,4.18
21/1/2020,1/2022,Q1,733,CA-2017-131954,Standard Class,DS-13030,Home Office,Seattle,Washington,West,Office Supplies,Storage,242.94,3,0,728.82,9.72
21/1/2020,1/2022,Q1,734,CA-2017-131954,Standard Class,DS-13030,Home Office,Seattle,Washington,West,Technology,Accessories,179.97,3,0,539.91,86.39
21/1/2020,1/2022,Q1,735,CA-2017-131954,Standard Class,DS-13030,Home Office,Seattle,Washington,West,Office Supplies,Binders,99.7,6,0.2,478.54,33.65
21/1/2020,1/2022,Q1,736,CA-2017-131954,Standard Class,DS-13030,Home Office,Seattle,Washington,West,Office Supplies,Binders,27.94,4,0.2,89.4,9.43
21/1/2020,1/2022,Q1,737,CA-2017-131954,Standard Class,DS-13030,Home Office,Seattle,Washington,West,Furniture,Bookcases,84.98,1,0,84.98,18.7
21/1/2020,1/2022,Q1,738,CA-2017-131954,Standard Class,DS-13030,Home Office,Seattle,Washington,West,Office Supplies,Binders,18.72,5,0.2,74.88,6.55
21/1/2020,1/2022,Q1,1096,CA-2017-160423,Standard Class,PS-19045,Home Office,Charlotte,North Carolina,South,Office Supplies,Storage,348.21,7,0.2,1949.96,30.47
21/1/2020,1/2022,Q1,1097,CA-2017-160423,Standard Class,PS-19045,Home Office,Charlotte,North Carolina,South,Office Supplies,Binders,35.78,7,0.7,75.15,-28.63
21/1/2020,1/2022,Q1,2680,CA-2017-127026,Standard Class,MH-18115,Home Office,Jackson,Michigan,Central,Office Supplies,Binders,14.4,5,0,72,7.06
21/1/2020,1/2022,Q1,2681,CA-2017-127026,Standard Class,MH-18115,Home Office,Jackson,Michigan,Central,Technology,Accessories,619.95,5,0,3099.75,111.59
21/1/2020,1/2022,Q1,2682,CA-2017-127026,Standard Class,MH-18115,Home Office,Jackson,Michigan,Central,Office Supplies,Binders,89.52,4,0,358.08,42.07
21/1/2020,1/2022,Q1,2683,CA-2017-127026,Standard Class,MH-18115,Home Office,Jackson,Michigan,Central,Technology,Machines,350.97,3,0.1,947.63,152.09
21/1/2020,1/2022,Q1,2684,CA-2017-127026,Standard Class,MH-18115,Home Office,Jackson,Michigan,Central,Technology,Phones,164.99,1,0,164.99,49.5
21/1/2020,1/2022,Q1,9745,CA-2017-141782,Standard Class,BE-11410,Consumer,Aurora,Illinois,Central,Office Supplies,Envelopes,268.58,4,0.2,859.44,90.64
22/1/2020,1/2022,Q1,516,CA-2017-127432,Standard Class,AD-10180,Home Office,Great Falls,Montana,West,Technology,Copiers,2999.95,5,0,14999.75,1379.98
22/1/2020,1/2022,Q1,517,CA-2017-127432,Standard Class,AD-10180,Home Office,Great Falls,Montana,West,Office Supplies,Storage,51.45,3,0,154.35,13.89
22/1/2020,1/2022,Q1,518,CA-2017-127432,Standard Class,AD-10180,Home Office,Great Falls,Montana,West,Office Supplies,Paper,11.96,2,0,23.92,5.38
22/1/2020,1/2022,Q1,519,CA-2017-127432,Standard Class,AD-10180,Home Office,Great Falls,Montana,West,Office Supplies,Storage,1126.02,3,0,3378.06,56.3
22/1/2020,1/2022,Q1,7984,CA-2017-152499,Second Class,EH-13765,Corporate,Chicago,Illinois,Central,Office Supplies,Fasteners,15.12,5,0.2,60.48,4.91
22/1/2020,1/2022,Q1,7985,CA-2017-152499,Second Class,EH-13765,Corporate,Chicago,Illinois,Central,Office Supplies,Art,7.87,3,0.2,18.89,0.89
23/1/2020,1/2022,Q1,523,CA-2017-145142,First Class,MC-17605,Corporate,Detroit,Michigan,Central,Furniture,Tables,210.98,2,0,421.96,21.1
23/1/2020,1/2022,Q1,6357,CA-2017-139080,Standard Class,CS-12250,Corporate,Seattle,Washington,West,Office Supplies,Binders,19.68,5,0.2,78.72,6.89
23/1/2020,1/2022,Q1,6358,CA-2017-139080,Standard Class,CS-12250,Corporate,Seattle,Washington,West,Office Supplies,Paper,25.92,4,0,103.68,12.44
23/1/2020,1/2022,Q1,6359,CA-2017-139080,Standard Class,CS-12250,Corporate,Seattle,Washington,West,Office Supplies,Paper,6.48,1,0,6.48,3.11
23/1/2020,1/2022,Q1,6360,CA-2017-139080,Standard Class,CS-12250,Corporate,Seattle,Washington,West,Technology,Phones,86.35,6,0.2,414.49,8.64
23/1/2020,1/2022,Q1,9654,CA-2017-161893,Standard Class,HP-14815,Home Office,Tucson,Arizona,West,Technology,Accessories,95.98,2,0.2,153.57,12
23/1/2020,1/2022,Q1,9655,CA-2017-161893,Standard Class,HP-14815,Home Office,Tucson,Arizona,West,Office Supplies,Binders,4.94,2,0.7,2.96,-3.62
24/1/2020,1/2022,Q1,2376,CA-2017-119669,Standard Class,TP-21130,Consumer,Smyrna,Georgia,South,Office Supplies,Fasteners,5.67,3,0,17.01,0.11
24/1/2020,1/2022,Q1,9596,CA-2017-104619,Standard Class,KD-16495,Corporate,San Jose,California,West,Office Supplies,Appliances,25.86,3,0,77.58,6.72
24/1/2020,1/2022,Q1,9597,CA-2017-104619,Standard Class,KD-16495,Corporate,San Jose,California,West,Office Supplies,Binders,276.78,2,0.2,442.85,89.95
24/1/2020,1/2022,Q1,9598,CA-2017-104619,Standard Class,KD-16495,Corporate,San Jose,California,West,Technology,Phones,110.35,3,0.2,264.84,8.28
26/1/2020,1/2022,Q1,2834,CA-2017-134649,Second Class,CA-11965,Corporate,Hoover,Alabama,South,Office Supplies,Art,15.47,7,0,108.29,4.18
26/1/2020,1/2022,Q1,2835,CA-2017-134649,Second Class,CA-11965,Corporate,Hoover,Alabama,South,Office Supplies,Binders,7.16,2,0,14.32,3.44
26/1/2020,1/2022,Q1,5492,CA-2017-164098,First Class,CG-12520,Consumer,Houston,Texas,Central,Office Supplies,Storage,18.16,2,0.2,29.06,1.82
26/1/2020,1/2022,Q1,7820,CA-2017-150469,Standard Class,CJ-12010,Consumer,San Francisco,California,West,Office Supplies,Fasteners,11.84,8,0,94.72,5.68
26/1/2020,1/2022,Q1,8312,US-2017-105935,Standard Class,BD-11500,Consumer,Columbus,Georgia,South,Furniture,Furnishings,62.72,4,0,250.88,24.46
26/1/2020,1/2022,Q1,8313,US-2017-105935,Standard Class,BD-11500,Consumer,Columbus,Georgia,South,Technology,Phones,2939.93,7,0,20579.51,764.38
27/1/2020,1/2022,Q1,2169,CA-2017-117870,Second Class,JH-15820,Consumer,Kent,Ohio,East,Office Supplies,Art,14.02,3,0.2,33.64,1.75
27/1/2020,1/2022,Q1,2170,CA-2017-117870,Second Class,JH-15820,Consumer,Kent,Ohio,East,Technology,Accessories,71.98,3,0.2,172.74,-9
27/1/2020,1/2022,Q1,2171,CA-2017-117870,Second Class,JH-15820,Consumer,Kent,Ohio,East,Technology,Phones,107.98,3,0.4,194.37,-27
27/1/2020,1/2022,Q1,7222,US-2017-104437,Standard Class,TG-21310,Consumer,New York City,New York,East,Technology,Phones,137.94,3,0,413.82,35.86
28/1/2020,1/2022,Q1,1415,CA-2017-115994,Second Class,BT-11305,Home Office,Costa Mesa,California,West,Technology,Accessories,239.97,3,0,719.91,26.4
28/1/2020,1/2022,Q1,1416,CA-2017-115994,Second Class,BT-11305,Home Office,Costa Mesa,California,West,Furniture,Furnishings,37.74,3,0,113.22,12.83
28/1/2020,1/2022,Q1,4784,US-2017-147984,Standard Class,GB-14575,Consumer,Wichita,Kansas,Central,Office Supplies,Paper,279.9,5,0,1399.5,137.15
28/1/2020,1/2022,Q1,6778,US-2017-166037,Standard Class,CL-12700,Home Office,New York City,New York,East,Technology,Accessories,449.91,9,0,4049.19,157.47
29/1/2020,1/2022,Q1,3886,US-2017-127341,Standard Class,CK-12595,Consumer,Chicago,Illinois,Central,Office Supplies,Binders,12.13,4,0.8,9.7,-20.62
29/1/2020,1/2022,Q1,5030,CA-2017-139304,Standard Class,VG-21790,Consumer,San Francisco,California,West,Office Supplies,Art,8.34,3,0,25.02,2.17
29/1/2020,1/2022,Q1,5031,CA-2017-139304,Standard Class,VG-21790,Consumer,San Francisco,California,West,Office Supplies,Supplies,8.57,1,0,8.57,2.23
29/1/2020,1/2022,Q1,5032,CA-2017-139304,Standard Class,VG-21790,Consumer,San Francisco,California,West,Office Supplies,Binders,119.62,8,0.2,765.54,40.37
29/1/2020,1/2022,Q1,7028,CA-2017-131653,Standard Class,RD-19585,Consumer,New York City,New York,East,Office Supplies,Labels,5.22,2,0,10.44,2.4
29/1/2020,1/2022,Q1,8590,CA-2017-145338,First Class,BD-11770,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,4.77,2,0.2,7.63,0.48
29/1/2020,1/2022,Q1,9915,CA-2017-160927,Second Class,TM-21010,Consumer,Marion,Iowa,Central,Office Supplies,Paper,12.96,2,0,25.92,6.22
29/1/2020,1/2022,Q1,9916,CA-2017-160927,Second Class,TM-21010,Consumer,Marion,Iowa,Central,Office Supplies,Paper,94.85,5,0,474.25,45.53
29/1/2020,1/2022,Q1,9917,CA-2017-160927,Second Class,TM-21010,Consumer,Marion,Iowa,Central,Office Supplies,Storage,13.48,1,0,13.48,3.5
29/1/2020,1/2022,Q1,9918,CA-2017-160927,Second Class,TM-21010,Consumer,Marion,Iowa,Central,Furniture,Furnishings,14.91,3,0,44.73,4.62
30/1/2020,1/2022,Q1,771,CA-2017-104220,Standard Class,BV-11245,Corporate,Des Moines,Iowa,Central,Office Supplies,Binders,18.28,2,0,36.56,9.14
30/1/2020,1/2022,Q1,772,CA-2017-104220,Standard Class,BV-11245,Corporate,Des Moines,Iowa,Central,Technology,Phones,207,3,0,621,51.75
30/1/2020,1/2022,Q1,773,CA-2017-104220,Standard Class,BV-11245,Corporate,Des Moines,Iowa,Central,Office Supplies,Binders,32.35,5,0,161.75,16.18
30/1/2020,1/2022,Q1,774,CA-2017-104220,Standard Class,BV-11245,Corporate,Des Moines,Iowa,Central,Office Supplies,Binders,7.71,1,0,7.71,3.47
30/1/2020,1/2022,Q1,775,CA-2017-104220,Standard Class,BV-11245,Corporate,Des Moines,Iowa,Central,Office Supplies,Art,40.3,2,0,80.6,10.88
30/1/2020,1/2022,Q1,776,CA-2017-104220,Standard Class,BV-11245,Corporate,Des Moines,Iowa,Central,Furniture,Furnishings,34.58,7,0,242.06,14.52
30/1/2020,1/2022,Q1,2922,CA-2017-164329,Same Day,MM-17920,Consumer,San Francisco,California,West,Office Supplies,Storage,129.3,2,0,258.6,6.47
30/1/2020,1/2022,Q1,4144,CA-2017-112725,Standard Class,EH-14125,Home Office,San Francisco,California,West,Office Supplies,Art,12.74,7,0,89.18,5.73
30/1/2020,1/2022,Q1,4145,CA-2017-112725,Standard Class,EH-14125,Home Office,San Francisco,California,West,Office Supplies,Art,8.82,3,0,26.46,2.38
30/1/2020,1/2022,Q1,4146,CA-2017-112725,Standard Class,EH-14125,Home Office,San Francisco,California,West,Furniture,Chairs,120.78,1,0.2,96.63,-13.59
30/1/2020,1/2022,Q1,5485,CA-2017-148999,Standard Class,EB-13870,Consumer,Miami,Florida,South,Furniture,Chairs,419.14,4,0.2,1341.24,-68.11
30/1/2020,1/2022,Q1,8268,CA-2017-121790,Standard Class,LP-17095,Consumer,Aurora,Illinois,Central,Furniture,Tables,69.38,1,0.5,34.69,-47.18
30/1/2020,1/2022,Q1,8269,CA-2017-121790,Standard Class,LP-17095,Consumer,Aurora,Illinois,Central,Office Supplies,Supplies,31.68,4,0.2,101.38,2.77
30/1/2020,1/2022,Q1,8270,CA-2017-121790,Standard Class,LP-17095,Consumer,Aurora,Illinois,Central,Technology,Phones,2003.17,4,0.2,6410.14,250.4
30/1/2020,1/2022,Q1,8271,CA-2017-121790,Standard Class,LP-17095,Consumer,Aurora,Illinois,Central,Office Supplies,Art,9.34,2,0.2,14.95,3.15
30/1/2020,1/2022,Q1,8366,CA-2017-157273,First Class,SZ-20035,Home Office,Seattle,Washington,West,Technology,Phones,604.77,4,0.2,1935.26,60.48
2/2/2020,2/2022,Q1,131,US-2017-164147,First Class,DW-13585,Corporate,Columbus,Ohio,East,Technology,Phones,59.97,5,0.4,179.91,-11.99
2/2/2020,2/2022,Q1,132,US-2017-164147,First Class,DW-13585,Corporate,Columbus,Ohio,East,Office Supplies,Paper,78.3,2,0.2,125.29,29.36
2/2/2020,2/2022,Q1,133,US-2017-164147,First Class,DW-13585,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,21.46,9,0.2,154.48,6.97
2/2/2020,2/2022,Q1,5145,CA-2017-161333,Standard Class,JL-15835,Consumer,Los Angeles,California,West,Furniture,Furnishings,86.26,2,0,172.52,29.33
2/2/2020,2/2022,Q1,5146,CA-2017-161333,Standard Class,JL-15835,Consumer,Los Angeles,California,West,Office Supplies,Storage,139.04,4,0,556.16,38.93
2/2/2020,2/2022,Q1,5147,CA-2017-161333,Standard Class,JL-15835,Consumer,Los Angeles,California,West,Office Supplies,Appliances,46.8,4,0,187.2,16.38
2/2/2020,2/2022,Q1,8747,CA-2017-128076,Standard Class,BO-11350,Corporate,San Diego,California,West,Furniture,Furnishings,210.58,2,0,421.16,12.63
2/2/2020,2/2022,Q1,8748,CA-2017-128076,Standard Class,BO-11350,Corporate,San Diego,California,West,Office Supplies,Binders,30.96,2,0.2,49.54,10.06
2/2/2020,2/2022,Q1,8749,CA-2017-128076,Standard Class,BO-11350,Corporate,San Diego,California,West,Technology,Machines,239.98,2,0.2,383.97,39
3/2/2020,2/2022,Q1,1321,CA-2017-167703,Standard Class,MC-17575,Consumer,Cincinnati,Ohio,East,Office Supplies,Binders,5.23,3,0.7,4.71,-4.18
3/2/2020,2/2022,Q1,1322,CA-2017-167703,Standard Class,MC-17575,Consumer,Cincinnati,Ohio,East,Office Supplies,Storage,285.55,2,0.2,456.88,35.69
